filter,desc
"Sugar, Jam and Honey, Chocolate and Confectionery","Sugar, Jam and Honey, Chocolate and Confectionery"
Alcoholic Beverages,Alcoholic Beverages
Tobacco,Tobacco
Recreation and Culture,Recreation and Culture
Special Family Occasion,Special Family Occasion
Health,Health
Education,Education
Clothing and Footwear,Clothing and Footwear
Transport,Transport
Communication,Communication
"Mineral Water, Softdrinks, Fruit and Vegetable Juices","Mineral Water, Softdrinks, Fruit and Vegetable Juices"
Meat,Meat
Fish and Seafood,Fish and Seafood
"Milk, Cheese and Eggs","Milk, Cheese and Eggs"
Oils and Fats,Oils and Fats
Fruit,Fruit
Vegetables,Vegetables
"Coffee, Tea and Cocoa","Coffee, Tea and Cocoa"
Total Income,Total Income
Total Food Expenditures,Total Food Expenditures
Total Non-Food Expenditure,Total Non-Food Expenditure
Total Expenditure,Total Expenditure
Income Difference,Income Difference
Essential/Non Esssential,Essential/Non Esssential
